mean,lb,ub,survival,predictor,sig,dotColor1,dotColor2,dotColor
0.0,0.0,0.0,0,Male,0,0,1,0
0.5633224393107098,0.5633224393107095,0.5633224393107095,1,AGE,1,1,2,2
-0.7516657083632537,-0.7516657083632536,-0.7516657083632536,1,EDU_YRS,1,1,2,2
0.03575314476914091,0.035753144769140946,0.035753144769140946,1,IMT_COMM_errors,1,1,2,2
0.0,0.0,0.0,0,IMT_OMIS_errors,0,0,1,0
-0.4818419788892522,-0.4818419788892531,-0.4818419788892531,1,A_IMT,1,1,2,2
0.0,0.0,0.0,0,B_D_IMT,0,0,1,0
0.0,0.0,0.0,0,Stop_ssrt,0,0,1,0
0.29728180054498304,0.29728180054498304,0.29728180054498304,1,lnk_adjdd,1,1,2,2
0.0,0.0,0.0,0,lkhat_Kirby,0,0,1,0
0.0,0.0,0.0,0,REVLR_per_errors,0,0,1,0
0.0,0.0,0.0,0,BIS_attention,0,0,1,0
0.8348956665613707,0.8348956665613715,0.8348956665613715,1,BIS_motor,1,1,2,2
0.7195843387866094,0.7195843387866095,0.7195843387866095,1,BIS_NonPL,1,1,2,2
-0.329108937502337,-0.3291089375023369,-0.3291089375023369,1,IGT_TOTAL,1,1,2,2
